,taxonomy,category,label
245,general,moods_neutral,moody
246,general,moods_neutral,mysterious
247,general,moods_neutral,neutral
248,general,moods_neutral,overwhelming
249,general,moods_neutral,passive
250,general,moods_neutral,peaceful
251,general,moods_neutral,pensive
252,general,moods_neutral,poetic
253,general,moods_neutral,poignant
254,general,moods_neutral,political
255,general,moods_neutral,powerful
256,general,moods_neutral,psychological
257,general,moods_neutral,pure
258,general,moods_neutral,questioning
259,general,moods_neutral,reflective
260,general,moods_neutral,relaxed
261,general,moods_neutral,religious
262,general,moods_neutral,resolving
263,general,moods_neutral,restless
264,general,moods_neutral,retrospective
265,general,moods_neutral,revelation
266,general,moods_neutral,scientific
267,general,moods_neutral,searching
268,general,moods_neutral,secretive
269,general,moods_neutral,seductive
270,general,moods_neutral,sensual
271,general,moods_neutral,sentimental
272,general,moods_neutral,serious
273,general,moods_neutral,sexy
274,general,moods_neutral,shocking
275,general,moods_neutral,significant
276,general,moods_neutral,sincere
277,general,moods_neutral,sleepy
278,general,moods_neutral,solemn
279,general,moods_neutral,spooky
280,general,moods_neutral,stoned
281,general,moods_neutral,sultry
282,general,moods_neutral,surreal
283,general,moods_neutral,swagger
284,general,moods_neutral,thoughtful
285,general,moods_neutral,tough
286,general,moods_neutral,underdog
287,general,moods_neutral,urgent
288,general,moods_neutral,vibe
289,general,moods_neutral,yearning
290,general,moods_neutral,zen
291,general,moods_negative,abrasive
292,general,moods_negative,aggressive
293,general,moods_negative,alone
294,general,moods_negative,angry
295,general,moods_negative,angst
296,general,moods_negative,anguish
297,general,moods_negative,anxious
298,general,moods_negative,apocalyptic
299,general,moods_negative,arrogant
300,general,moods_negative,bad
301,general,moods_negative,beastly
302,general,moods_negative,bitter
303,general,moods_negative,bored
304,general,moods_negative,brash
305,general,moods_negative,broken
306,general,moods_negative,brooding
307,general,moods_negative,brutal
308,general,moods_negative,challenging
309,general,moods_negative,chaos
310,general,moods_negative,cold
311,general,moods_negative,corny
312,general,moods_negative,creepy
313,general,moods_negative,crisis
314,general,moods_negative,danger
315,general,moods_negative,dangerous
316,general,moods_negative,dark
317,general,moods_negative,deception
318,general,moods_negative,depressed
319,general,moods_negative,desolate
320,general,moods_negative,desperate
321,general,moods_negative,disappointed
322,general,moods_negative,disturbing
323,general,moods_negative,down
324,general,moods_negative,dubious
325,general,moods_negative,edgy
326,general,moods_negative,eerie
327,general,moods_negative,evil
328,general,moods_negative,fear
329,general,moods_negative,fearful
330,general,moods_negative,ferocious
331,general,moods_negative,fierce
332,general,moods_negative,freaky
333,general,moods_negative,frightening
334,general,moods_negative,gloomy
335,general,moods_negative,harsh
336,general,moods_negative,haunted
337,general,moods_negative,intense
338,general,moods_negative,irritating
339,general,moods_negative,lonely
340,general,moods_negative,lost
341,general,moods_negative,macabre
342,general,moods_negative,maniacal
343,general,moods_negative,melancholic
344,general,moods_negative,melancholy
345,general,moods_negative,menacing
346,general,moods_negative,mischievous
347,general,moods_negative,nasty
348,general,moods_negative,negative
349,general,moods_negative,nervous
350,general,moods_negative,ominous
351,general,moods_negative,oppressive
352,general,moods_negative,pain
353,general,moods_negative,panic
354,general,moods_negative,punishing
355,general,moods_negative,rebellious
356,general,moods_negative,regret
357,general,moods_negative,resentment
358,general,moods_negative,sad
359,general,moods_negative,sarcastic
360,general,moods_negative,sassy
361,general,moods_negative,scary
362,general,moods_negative,sinister
363,general,moods_negative,snarky
364,general,moods_negative,somber
365,general,moods_negative,sorcery
366,general,moods_negative,sorrow
367,general,moods_negative,strange
368,general,moods_negative,sullen
369,general,moods_negative,tense
370,general,moods_negative,terrifying
371,general,moods_negative,threatening
372,general,moods_negative,tortured
373,general,moods_negative,touching
374,general,moods_negative,tragic
375,general,moods_negative,tumultuous
376,general,moods_negative,ugly
377,general,moods_negative,uncomfortable
378,general,moods_negative,uneasy
379,general,moods_negative,violent
380,general,moods_negative,worried
381,general,tone,8_bit
382,general,tone,abrupt
383,general,tone,acoustic
384,general,tone,air
385,general,tone,ambient
386,general,tone,arena
387,general,tone,atmospheric
388,general,tone,blast
389,general,tone,brassy
390,general,tone,bright
391,general,tone,bubbling
392,general,tone,bursting
393,general,tone,busy
394,general,tone,buzzing
395,general,tone,changing
396,general,tone,chaotic
397,general,tone,cinematic
398,general,tone,cloudy
399,general,tone,crash
400,general,tone,crawling
401,general,tone,crispy
402,general,tone,crunchy
403,general,tone,delay
404,general,tone,detuned
405,general,tone,digital
406,general,tone,dirty
407,general,tone,dissonant
408,general,tone,distant
409,general,tone,distortion
410,general,tone,dusty
411,general,tone,easy_going
412,general,tone,eclectic
413,general,tone,electrified
414,general,tone,ethereal
415,general,tone,exotic
416,general,tone,exploding
417,general,tone,familiar
418,general,tone,fat
419,general,tone,filtered
420,general,tone,finger_picking
421,general,tone,floating
422,general,tone,flowing
423,general,tone,flurry
424,general,tone,flying
425,general,tone,frantic
426,general,tone,fresh
